batch_size	learning_rate	split_count	cnt_min	cnt_max	embedding_dim	category_embedding_dim	hidden_size	checkpoint	epoch_num	accuracy	early_stop_epoch	hidden_size	metric_rankme	metric_coherence	metric_pseudo_condition_number	metric_alpha_req	metric_stable_rank	metric_ne_sum	metric_self_clustering	metric_ripser	std_metric_rankme	std_metric_coherence	std_metric_pseudo_condition_number	std_metric_alpha_req	std_metric_stable_rank	std_metric_ne_sum	std_metric_self_clustering	std_metric_ripser	time_rankme	time_coherence	time_pseudo_condition_number	time_alpha_req	time_stable_rank	time_ne_sum	time_self_clustering	time_ripser	std_time_rankme	std_time_coherence	std_time_pseudo_condition_number	std_time_alpha_req	std_time_stable_rank	std_time_ne_sum	std_time_self_clustering	std_time_ripser
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=19.ckpt	19	0.5355555555555556	19	128	50.5311	2.4691	0.0008	3.7377	1.1542	8.3368	0.7494	-1410.45	0.1226	0.1329	1E-04	0.0104	0.0014	0.3112	0.0018	6.3808	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0187
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=20.ckpt	20	0.525	19	128	50.1672	2.2344	0.0009	3.7321	1.152	8.3169	0.7523	-1394.594	0.1342	0.1022	1E-04	0.0139	0.0014	0.3181	0.0019	6.2103	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0141
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=21.ckpt	21	0.5402777777777777	19	128	50.2867	2.2648	0.0008	3.7548	1.1541	8.2901	0.7496	-1404.8291	0.1413	0.1072	1E-04	0.0124	0.0014	0.3155	0.0019	5.9094	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.0009	0.1601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0142
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=22.ckpt	22	0.5441666666666667	19	128	50.4973	2.3044	0.0009	3.7171	1.1548	8.3934	0.7486	-1404.4496	0.1255	0.2045	0.0	0.0116	0.0014	0.3095	0.0019	6.266	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.0009	0.1607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0175
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=23.ckpt	23	0.5358333333333334	19	128	50.5877	2.2448	0.0009	3.7227	1.154	8.2938	0.7498	-1410.0323	0.1342	0.128	0.0	0.0125	0.0014	0.2962	0.0018	6.5243	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.0009	0.1606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0186
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=00.ckpt	0	0.4558333333333333	6	256	46.056	2.1519	0.0004	4.9616	1.115	7.0153	0.8032	-879.9813	0.334	0.1557	0.0	0.0136	0.0018	0.239	0.0024	5.3448	0.0001	0.0002	0.0	0.0002	0.0001	0.0043	0.0011	0.1695	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0216
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=01.ckpt	1	0.5061111111111111	6	256	52.5877	2.0316	0.0003	4.8457	1.0953	7.2744	0.833	-1083.9729	0.2616	0.162	0.0	0.0152	0.001	0.3156	0.0015	4.7347	0.0001	0.0002	0.0	0.0002	0.0001	0.0043	0.0011	0.1744	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0106
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=02.ckpt	2	0.5011111111111111	6	256	58.8811	1.9901	0.0003	4.7775	1.1097	5.8008	0.8114	-1248.6718	0.3186	0.1615	0.0	0.0174	0.0009	0.171	0.0013	5.5451	0.0001	0.0002	0.0	0.0002	0.0001	0.0043	0.0011	0.1739	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0107
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=03.ckpt	3	0.5216666666666666	6	256	64.6179	1.8419	0.0003	4.6593	1.1053	7.9226	0.8176	-1384.0452	0.2809	0.0963	0.0	0.0195	0.001	0.284	0.0014	5.1777	0.0001	0.0002	0.0	0.0002	0.0001	0.0043	0.0011	0.1743	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0111
64	0.001	3	10	50	16	8	256	checkpoints/model_64_0.001_3_10_50_256epoch=04.ckpt	4	0.5191666666666667	6	256	66.2709	1.8012	0.0002	4.65	1.1018	7.6946	0.8227	-1453.9027	0.2912	0.0711	0.0	0.0165	0.001	0.2872	0.0014	6.1164	0.0001	0.0002	0.0	0.0002	0.0001	0.0043	0.0011	0.1658	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0048
