batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,std_metric_rankme,std_metric_coherence,std_metric_pseudo_condition_number,std_metric_alpha_req,std_metric_stable_rank,std_metric_ne_sum,std_metric_self_clustering,std_metric_ripser_sum_H0,std_metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,std_time_rankme,std_time_coherence,std_time_pseudo_condition_number,std_time_alpha_req,std_time_stable_rank,std_time_ne_sum,std_time_self_clustering,std_time_ripser_sum_H0,std_time_ripser_sum_H1
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=11.ckpt,11,0.5225,14,128,0.05,46.5593,2.3425,0.0006,3.6552,1.1197,8.3725,0.7953,1134.1617,74.7573,0.1185,0.3536,0.0,0.0129,0.001,0.3567,0.0014,4.6388,2.8775,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1719,0.1719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=12.ckpt,12,0.5219444444444444,14,128,0.05,47.8018,2.8476,0.0007,3.5908,1.1264,8.3975,0.7857,1153.2404,76.4134,0.135,0.5088,0.0,0.0113,0.0011,0.3568,0.0015,4.586,2.818,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1682,0.1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0116,0.0116
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=13.ckpt,13,0.5208333333333334,14,128,0.05,47.4655,2.4084,0.0007,3.5822,1.1229,8.1149,0.7906,1156.3169,74.6261,0.1457,0.3308,0.0,0.0153,0.0012,0.3292,0.0016,4.559,3.2019,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1684,0.1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=14.ckpt,14,0.5236111111111111,14,128,0.05,47.2777,2.1098,0.0007,3.6066,1.1222,8.1338,0.7917,1157.1332,75.7597,0.1363,0.1896,0.0,0.0146,0.0011,0.3448,0.0016,4.2586,3.4242,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1747,0.1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.0228
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=15.ckpt,15,0.5238888888888888,14,128,0.05,48.0557,2.1616,0.0008,3.5534,1.1259,8.374,0.7865,1176.9772,75.9854,0.1281,0.2253,0.0,0.0143,0.0012,0.3404,0.0017,4.5501,3.1829,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1791,0.1791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,0.0188
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=16.ckpt,16,0.5211111111111111,14,128,0.05,48.7028,2.1585,0.0008,3.533,1.1291,8.2915,0.7819,1188.5945,77.8658,0.1229,0.216,0.0,0.0145,0.0012,0.3276,0.0016,4.4031,3.2522,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1801,0.1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,0.0188
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=17.ckpt,17,0.5188888888888888,14,128,0.05,49.64,2.318,0.0008,3.4938,1.1323,8.4792,0.7774,1206.9326,80.37,0.1262,0.4534,0.0,0.0115,0.0012,0.3383,0.0017,4.5835,3.1951,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1879,0.1879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136,0.0136
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=18.ckpt,18,0.5291666666666667,14,128,0.05,49.0029,2.1316,0.0007,3.5331,1.1305,8.2082,0.7797,1204.8723,78.3636,0.1317,0.1995,0.0,0.0153,0.0013,0.3301,0.0018,3.9813,3.6853,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1672,0.1672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0128
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=00.ckpt,0,0.37083333333333335,11,128,0.05,24.8978,4.4815,0.0008,4.5965,1.1449,4.0103,0.7623,423.1706,26.4541,0.3159,0.1063,0.0,0.0237,0.0028,0.139,0.0034,3.7148,0.8418,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.0011,0.1189,0.1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0034
64,0.0001,3,10,50,16,8,128,checkpoints/model_64_0.0001_3_10_50_128epoch=01.ckpt,1,0.38166666666666665,11,128,0.05,27.3254,4.2368,0.001,4.6242,1.2032,4.237,0.6961,529.9176,37.9037,0.2081,0.2331,0.0,0.0171,0.0037,0.1876,0.004,3.6459,2.3676,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1315,0.1315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008
